ID,DESCRIPCION,OBSERVACIONES
1,GASTOS PERSONALES,AQUÍ VAN MIS GASTOS PERSONALES
2,GASTOS DEL HOGAR,AQUÍ VAN LOS GASTOS DE LA CASA
3,GASTOS DEL NEGOCIO FIJOS,AQUÍ VAN LOS PAGOS FIJOS DEL NEGOCIO
4,PAGOS PROVEEDORES,AQUÍ VAN LOS GASTOS DE COMPRAS
5,INGRESOS POR SUELDO QUINCENAL,AQUÍ VAN LOS PAGOS QUE RECIBO DEL TRABAJO
6,INGRESO POR VENTAS EN LINEA,AQUÍ VAN MIS VENTAS DE PRODUCTOS EN LINEA
7,INGRESO POR CURSOS UDEMY,LOS PAGOS QUE RECIBO POR CURSOS
8,INGRESOS POR RENTA DE CASA,LOS INGRESOS DE LA CASA QUE RENTO
9,GASTOS POR VEHICULO,TODOS LOS GASTOS DE MANTENIMIENTO VEHICULOS
10,PAGOS DE NOMINA NEGOCIO,PAGOS DE NOMINA DE LOS TRABAJADORES DEL NEGOCIO
11,OTROS GASTOS NEGOCIO,AQUÍ VAN LOS GASTOS QUE NO SON FIJOS
